JVM,Version,VM,OS,Architecture,Distribution,Packaging,JavaFX,JCK,Free,License,Maintained,Supported,Link
AdoptOpenJDK,13,OpenJ9,macOS,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,13,OpenJ9,macOS,x86-64,JDK,PKG,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,13,OpenJ9,macOS,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,13,OpenJ9,macOS,x86-64,JRE,PKG,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,13,OpenJ9,Windows,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,13,OpenJ9,Windows,x86-64,JDK,Installer,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,13,OpenJ9,Windows,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,13,OpenJ9,Windows,x86-64,JRE,Installer,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,AIX,PPC-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,AIX,PPC-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,AARCH-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,AARCH-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,ARM-32,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,PPC-64 LE,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,PPC-64 LE,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,S390-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,S390-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Linux,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,macOS,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,macOS,x86-64,JDK,PKG,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,macOS,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,macOS,x86-64,JRE,PKG,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-32,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-32,JDK,Installer,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-32,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-32,JRE,Installer,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-64,JDK,Installer,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,14,HotSpot,Windows,x86-64,JRE,Installer,No,No,Yes,GPLv2+CPE,No,No,https://adoptopenjdk.net/releases.html
